Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:549us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:552us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:547us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:590us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:553us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.01,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:552us | Chế độ: NHANH,PID:0.38,0.00,0.00
Màu: XANH LÁ | R:4187(0.409) G:5385(0.526) B:3500(0.342) C:10240
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:549us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:548us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.04,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.03,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.03,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.07,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Màu: XANH LÁ | R:4282(0.418) G:5528(0.540) B:3581(0.350) C:10240
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:550us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.01,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:549us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.06,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:550us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:548us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:549us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:653us | Chế độ: NHANH,PID:0.38,0.00,0.00
Màu: XANH LÁ | R:4324(0.422) G:5585(0.545) B:3615(0.353) C:10240
Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:547us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.03,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:552us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=0.05,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:552us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.00,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
Error:R=-0.03,F=0.00,Control:R=0,F=0,Speed:(250,250),Time:549us | Chế độ: NHANH,PID:0.38,0.00,0.00
